"id","name","pitches","rv_tot","pct_tot","rv_11","pct_11","rv_12","pct_12","rv_13","pct_13","rv_14","pct_14","rv_16","pct_16","rv_17","pct_17","rv_18","pct_18","rv_19","pct_19"
592663,"Realmuto, J.T.",1854,2.352879842876529,0.49319213313161875,1,0.36363636363636365,0,0.6176470588235294,0,0.03225806451612903,2,0.5766423357664233,-1,0.5811965811965812,1,0.3380281690140845,0,0.5785714285714286,0,0.296875
672515,"Moreno, Gabriel",1180,0.8533350229307772,0.4823529411764706,0,0.2631578947368421,0,0.6666666666666666,0,0.11764705882352941,0,0.5,0,0.7397260273972602,0,0.22857142857142856,0,0.5,0,0.25
678218,"Valenzuela, Brandon",1337,2.579545815646989,0.4887063655030801,0,0.38461538461538464,0,0.582089552238806,0,0.2962962962962963,0,0.48863636363636365,0,0.5913978494623656,0,0.375,1,0.5729166666666666,0,0.23809523809523808
660688,"Ruiz, Keibert",1731,1.4722268400996685,0.4775641025641026,0,0.16279069767441862,0,0.5882352941176471,0,0.275,0,0.48514851485148514,2,0.6830985915492958,0,0.20588235294117646,0,0.4956521739130435,0,0.3125
663886,"Stephenson, Tyler",2493,-5.013343998544753,0.4058127018299246,0,0.16666666666666666,0,0.5,0,0.23404255319148937,-3,0.40804597701149425,-1,0.5921052631578947,0,0.16129032258064516,0,0.5462962962962963,0,0.1346153846153846
680779,"Davis, Henry",1927,0.6372234853702063,0.485054347826087,0,0.16666666666666666,1,0.6216216216216216,0,0.14705882352941177,0,0.5967741935483871,0,0.6397058823529411,-1,0.1956521739130435,-1,0.5944055944055944,0,0.21951219512195122
624512,"McGuire, Reese",773,0.5368268845709894,0.4317343173431734,0,0.13333333333333333,0,0.5151515151515151,0,0.2222222222222222,0,0.4897959183673469,0,0.4883720930232558,0,0.15384615384615385,0,0.6785714285714286,0,0.28
518595,"d'Arnaud, Travis",946,-2.065197786785816,0.4690265486725664,0,0.23809523809523808,0,0.6,0,0.15384615384615385,0,0.5875,-1,0.6229508196721312,0,0.34375,0,0.4482758620689655,-1,0
663698,"Bart, Joey",1269,-0.8579840101514871,0.4622222222222222,-1,0.13725490196078433,0,0.7413793103448276,0,0.5,-1,0.46875,1,0.654320987654321,0,0.15625,0,0.5428571428571428,0,0.22
657136,"Wong, Connor",1115,-1.542347455807428,0.4351851851851852,0,0.25806451612903225,-1,0.5283018867924528,0,0.15151515151515152,0,0.5205479452054794,0,0.6222222222222222,0,0.23529411764705882,0,0.48717948717948717,0,0.175
595978,"Hedges, Austin",1166,1.7426733096850608,0.5130023640661938,0,0.34210526315789475,1,0.6338028169014085,0,0.2692307692307692,0,0.6025641025641025,0,0.6455696202531646,0,0.21875,0,0.5507246376811594,0,0.3
